,signal,entry_time,exit_time,entry_price,exit_price,sl,tp,lot_size,result,pnl,balance_after
113,SELL,2025-05-19 14:00:00,2025-05-20 05:00:00,3240.74,3208.33,3256.94,3208.33,0.1,win,327.58,16741.45
114,BUY,2025-05-21 07:00:00,2025-06-03 01:00:00,3305.09,3389.91,3225.26,3464.75,0.02,win,169.5,16910.95
115,BUY,2025-05-22 13:00:00,2025-06-04 07:00:00,3292.64,3354.75,3225.26,3427.4,0.03,win,186.12,17097.07
116,BUY,2025-05-23 13:00:00,2025-06-05 07:00:00,3331.61,3368.38,3225.26,3544.31,0.02,win,73.4,17170.47
117,BUY,2025-06-02 15:00:00,2025-06-13 07:00:00,3358.44,3425.32,3253.59,3568.14,0.02,win,133.62,17304.09
118,BUY,2025-06-03 13:00:00,2025-06-16 05:00:00,3358.46,3438.44,3253.59,3568.2,0.02,win,159.82,17463.91
119,BUY,2025-06-04 14:00:00,2025-06-17 06:00:00,3349.56,3387.62,3253.59,3541.5,0.02,win,75.98,17539.89
120,BUY,2025-06-12 07:00:00,2025-06-25 02:00:00,3373.53,3324.14,3253.59,3613.41,0.01,loss,-49.46,17490.43
121,BUY,2025-06-17 06:00:00,2025-06-30 01:00:00,3390.62,3253.59,3253.59,3664.68,0.01,loss,-174.97,17315.46
122,BUY,2025-06-19 09:00:00,2025-06-30 01:00:00,3360.36,3253.59,3253.59,3573.9,0.02,loss,-173.29,17142.17
123,SELL,2025-06-20 13:00:00,2025-06-20 16:00:00,3352.36,3369.12,3369.12,3318.84,0.1,loss,-172.12,16970.05
124,SELL,2025-06-23 14:00:00,2025-06-24 02:00:00,3377.71,3343.93,3394.6,3343.93,0.1,win,338.7,17308.75
125,SELL,2025-07-08 01:00:00,2025-07-08 17:00:00,3336.79,3303.42,3353.47,3303.42,0.1,win,345.48,17654.22
126,SELL,2025-07-08 15:00:00,2025-07-08 18:00:00,3325.16,3291.91,3341.79,3291.91,0.11,win,352.31,18006.53
127,SELL,2025-07-09 07:00:00,2025-07-09 17:00:00,3290.95,3307.4,3307.4,3258.04,0.11,loss,-180.84,17825.69
128,SELL,2025-07-09 13:00:00,2025-07-09 17:00:00,3292.47,3308.93,3308.93,3259.55,0.11,loss,-179.03,17646.66
129,SELL,2025-07-10 15:00:00,2025-07-11 08:00:00,3320.82,3337.42,3337.42,3287.61,0.11,loss,-177.24,17469.42
130,BUY,2025-07-14 08:00:00,2025-07-24 23:00:00,3360.62,3368.2,3253.59,3574.68,0.02,win,15.02,17484.44
